Data,qtd_focos,media_dias_sem_chuva,media_precipitacao,media_risco_fogo,media_frp,Mes,DiaSemana,Estacao_Seca,lag_1,lag_2
2015-08-06,200,13.37,0.0015000000000000002,0.9824742268041237,54.76428571428572,8,3,1,254.0,216.0
2015-08-07,205,12.941463414634146,0.8809756097560976,0.9466666666666667,28.568888888888885,8,4,1,200.0,254.0
2015-08-08,175,16.4,1.3342857142857143,0.948235294117647,98.0078947368421,8,5,1,205.0,200.0
2015-08-09,228,12.078947368421053,0.1280701754385965,0.9822222222222222,52.32571428571429,8,6,1,175.0,205.0
2015-08-10,228,10.56578947368421,0.31315789473684214,0.9860360360360361,31.23548387096774,8,0,1,228.0,175.0
2015-08-11,232,8.400862068965518,0.8262931034482758,0.9408695652173913,62.132,8,1,1,228.0,228.0
2015-08-12,133,9.105263157894736,1.1210526315789473,0.9795275590551181,37.25405405405406,8,2,1,232.0,228.0
2015-08-13,207,8.768115942028986,0.6507246376811594,0.9911764705882352,37.083333333333336,8,3,1,133.0,232.0
2015-08-14,369,7.794037940379404,0.0,0.9923705722070845,49.90381679389313,8,4,1,207.0,133.0
2015-08-15,392,7.372448979591836,0.0,0.9943734015345269,98.46585365853659,8,5,1,369.0,207.0
2015-08-16,967,8.595656670113755,0.32388831437435367,0.9978791092258749,101.05343915343914,8,6,1,392.0,369.0
2015-08-17,824,8.674757281553399,1.7856796116504856,0.9864532019704434,63.235338345864655,8,0,1,967.0,392.0
2015-08-18,1043,10.470757430488973,1.861457334611697,0.9904854368932039,121.75265957446808,8,1,1,824.0,967.0
2015-08-19,1451,5.657477601654032,2.2537560303239146,0.9984561403508772,54.4030612244898,8,2,1,1043.0,824.0
2015-08-20,1558,0.5738125802310655,0.022913992297817716,0.999479843953186,60.907462686567165,8,3,1,1451.0,1043.0
2015-08-21,1592,2.271356783919598,0.006909547738693468,0.9996813256851498,52.59830917874396,8,4,1,1558.0,1451.0
2015-08-22,1251,3.2302158273381294,0.04628297362110312,0.9996750609260763,111.45178571428572,8,5,1,1592.0,1558.0
2015-08-23,1421,4.03377902885292,0.10316678395496129,1.0,67.9377581120944,8,6,1,1251.0,1592.0
2015-08-24,822,4.5608272506082725,0.3007299270072993,1.0,37.1437037037037,8,0,1,1421.0,1251.0
2015-08-25,632,5.131329113924051,0.24841772151898733,0.9978187919463088,32.781052631578945,8,1,1,822.0,1421.0
