Data,qtd_focos,media_dias_sem_chuva,media_precipitacao,media_risco_fogo
2015-01-03,1,0.0,29.6,0.0
2015-01-04,5,0.0,9.78,0.0
2015-01-05,7,0.14285714285714285,0.6285714285714287,0.3
2015-01-08,2,0.0,6.55,0.1
2015-01-09,16,0.0625,3.38125,0.39375
2015-01-11,1,0.0,10.9,0.2
2015-01-15,3,0.0,20.2,0.1
2015-01-17,1,0.0,14.1,0.0
2015-01-24,1,0.0,1.5,0.6
2015-01-30,2,0.0,0.9,0.05
2015-01-31,1,0.0,39.6,0.0
2015-02-03,2,1.0,0.8500000000000001,0.2
2015-02-04,4,1.25,1.7999999999999998,0.325
2015-02-05,8,1.5,6.3875,0.4857142857142857
2015-02-06,4,0.25,3.075,0.25
2015-02-07,5,0.6,2.7399999999999998,0.13333333333333333
2015-02-10,2,0.0,3.6500000000000004,0.35
2015-02-11,5,0.2,8.459999999999999,0.125
2015-02-13,1,0.0,26.0,0.0
2015-02-14,2,0.0,43.85,0.0
2015-02-15,1,0.0,10.7,0.0
2015-02-16,3,0.0,17.599999999999998,0.0
2015-02-23,1,0.0,6.3,0.3
2015-02-25,1,0.0,2.5,0.0
2015-02-28,5,0.2,3.3,0.1
2015-03-03,2,0.5,6.4,0.0
2015-03-04,3,0.0,0.6666666666666666,0.3
2015-03-09,1,0.0,0.2,0.1
2015-03-10,1,0.0,0.6,0.0
2015-03-14,11,0.0,6.5181818181818185,0.2333333333333333
2015-03-15,1,0.0,1.2,0.5
2015-03-16,1,1.0,2.5,0.2
2015-03-25,2,0.0,6.5,0.0
2015-03-27,2,0.0,29.15,0.0
2015-04-02,5,0.8,4.34,0.04
2015-04-04,9,0.5555555555555556,2.4555555555555557,0.1
2015-04-06,1,0.0,9.5,0.1
2015-04-08,1,0.0,5.1,0.0
2015-04-11,1,0.0,1.8,0.3
2015-04-12,1,0.0,3.4,0.1
2015-04-20,2,2.0,0.0,0.9
2015-04-21,2,2.0,0.2,0.15
2015-04-25,7,0.0,1.2714285714285716,0.1
2015-05-01,3,0.0,0.4666666666666666,0.2
2015-05-02,6,1.3333333333333333,0.20000000000000004,0.8400000000000001
2015-05-03,4,1.5,0.125,0.17500000000000002
2015-05-08,1,0.0,9.8,0.0
2015-05-10,5,1.0,0.1,0.1
2015-05-14,2,0.0,0.0,0.0
2015-05-17,1,0.0,0.1,0.0
2015-05-19,2,0.0,0.0,0.44999999999999996
2015-05-21,1,0.0,1.7,0.0
2015-05-22,1,0.0,6.5,0.0
2015-05-23,3,0.0,0.4666666666666666,0.7000000000000001
2015-05-24,13,0.0,12.46923076923077,0.13
2015-05-28,1,2.0,2.3,1.0
2015-05-30,1,0.0,24.0,0.1
2015-05-31,6,3.0,2.9166666666666665,0.85
2015-06-01,1,2.0,0.3,1.0
2015-06-02,5,2.0,0.0,0.86
2015-06-03,2,3.0,0.6,0.7
2015-06-04,13,3.3846153846153846,0.007692307692307693,0.9125
2015-06-05,28,4.607142857142857,0.025,0.7833333333333333
2015-06-06,16,5.0625,0.05625,0.8999999999999999
2015-06-07,16,5.625,2.6999999999999997,0.9181818181818181
2015-06-08,2,6.0,3.55,0.65
2015-06-09,23,0.08695652173913043,0.2826086956521739,0.8333333333333334
2015-06-10,1,0.0,0.1,0.4
2015-06-11,8,0.625,0.0,0.8
2015-06-12,8,2.25,0.0,1.0
2015-06-13,18,3.6666666666666665,0.31666666666666665,0.9117647058823529
2015-06-14,5,4.2,0.02,0.8
2015-06-15,2,8.0,0.0,1.0
2015-06-16,1,5.0,0.1,0.9
2015-06-18,3,7.666666666666667,0.0,0.8666666666666667
2015-06-19,2,3.0,0.0,1.0
2015-06-20,6,6.166666666666667,0.0,0.675
2015-06-21,1,5.0,0.0,0.9
2015-06-22,8,8.125,0.0125,0.6166666666666667
2015-06-23,10,12.4,0.11000000000000001,0.9888888888888889
2015-06-24,18,11.944444444444445,0.03888888888888889,0.9125
2015-06-25,29,13.379310344827585,0.034482758620689655,0.8347826086956521
2015-06-26,13,12.846153846153847,0.0,0.8916666666666666
2015-06-27,34,12.647058823529411,0.0,0.8999999999999999
2015-06-28,16,11.625,0.0,0.9846153846153847
2015-06-29,17,13.588235294117647,0.0058823529411764705,0.8562500000000001
2015-06-30,18,16.055555555555557,0.23333333333333334,0.9058823529411765
2015-07-01,19,15.947368421052632,0.031578947368421054,0.9055555555555556
2015-07-02,14,17.357142857142858,0.05,0.7583333333333333
2015-07-03,13,20.615384615384617,0.0,0.8
2015-07-04,9,20.666666666666668,4.2555555555555555,0.7875
2015-07-09,4,2.75,0.0,0.75
2015-07-10,11,4.0,0.0,0.8090909090909091
2015-07-11,24,4.625,0.2791666666666667,0.7380952380952381
2015-07-12,22,4.7272727272727275,0.0,0.8
2015-07-13,12,6.166666666666667,0.0,0.8416666666666667
2015-07-14,16,6.375,0.00625,0.8857142857142858
2015-07-15,33,7.151515151515151,0.0,0.903125
2015-07-16,21,7.761904761904762,0.6238095238095238,0.8857142857142858
2015-07-17,15,5.933333333333334,0.0,0.9153846153846155
2015-07-18,32,8.96875,0.0,0.8633333333333333
2015-07-19,28,5.214285714285714,0.0,0.8035714285714286
2015-07-20,20,8.35,0.0,0.8421052631578947
2015-07-21,32,11.5,0.00625,0.9193548387096774
2015-07-22,32,12.46875,0.0125,0.915625
2015-07-23,21,12.857142857142858,0.0,0.925
2015-07-24,14,16.285714285714285,0.8714285714285716,0.9
2015-07-25,79,15.936708860759493,0.0,0.9168831168831169
2015-07-26,85,14.552941176470588,0.011764705882352941,0.950632911392405
2015-07-27,155,15.406451612903226,0.0,0.9468531468531469
2015-07-28,65,10.907692307692308,0.0,0.9396825396825397
2015-07-29,111,11.846846846846846,0.0,0.9351351351351351
2015-07-30,82,16.48780487804878,0.0,0.9569620253164556
2015-07-31,77,16.584415584415584,0.05974025974025973,0.9621621621621622
2015-08-01,176,17.267045454545453,0.0,0.97125748502994
2015-08-02,259,16.154440154440156,0.2420849420849421,0.9648979591836735
2015-08-03,233,16.587982832618025,0.9085836909871244,0.9753488372093023
2015-08-04,216,12.555555555555555,0.0,0.9947368421052631
2015-08-05,254,14.9251968503937,0.00039370078740157485,0.9836
2015-08-06,200,13.37,0.0015000000000000002,0.9824742268041237
2015-08-07,205,12.941463414634146,0.8809756097560976,0.9466666666666667
2015-08-08,175,16.4,1.3342857142857143,0.948235294117647
2015-08-09,228,12.078947368421053,0.1280701754385965,0.9822222222222222
2015-08-10,228,10.56578947368421,0.31315789473684214,0.9860360360360361
2015-08-11,232,8.400862068965518,0.8262931034482758,0.9408695652173913
2015-08-12,133,9.105263157894736,1.1210526315789473,0.9795275590551181
2015-08-13,207,8.768115942028986,0.6507246376811594,0.9911764705882352
2015-08-14,369,7.794037940379404,0.0,0.9923705722070845
2015-08-15,392,7.372448979591836,0.0,0.9943734015345269
2015-08-16,967,8.595656670113755,0.32388831437435367,0.9978791092258749
2015-08-17,824,8.674757281553399,1.7856796116504856,0.9864532019704434
2015-08-18,1043,10.470757430488973,1.861457334611697,0.9904854368932039
2015-08-19,1451,5.657477601654032,2.2537560303239146,0.9984561403508772
2015-08-20,1558,0.5738125802310655,0.022913992297817716,0.999479843953186
2015-08-21,1592,2.271356783919598,0.006909547738693468,0.9996813256851498
2015-08-22,1251,3.2302158273381294,0.04628297362110312,0.9996750609260763
2015-08-23,1421,4.03377902885292,0.10316678395496129,1.0
2015-08-24,822,4.5608272506082725,0.3007299270072993,1.0
2015-08-25,632,5.131329113924051,0.24841772151898733,0.9978187919463088
2015-08-26,525,5.900952380952381,4.4504761904761905,0.8679060665362035
2015-08-27,421,5.415676959619953,8.830641330166271,0.6917874396135265
2015-08-28,59,3.7796610169491527,11.313559322033898,0.7155172413793104
2015-08-29,249,0.41767068273092367,0.6044176706827309,0.7181069958847737
2015-08-30,514,0.8054474708171206,3.0317120622568092,0.6564453125
2015-08-31,46,0.9130434782608695,17.171739130434784,0.25
2015-09-01,15,5.133333333333334,3.893333333333333,0.5333333333333333
2015-09-02,164,1.6280487804878048,5.091463414634147,0.7396341463414634
2015-09-03,76,1.5657894736842106,12.038157894736841,0.188
2015-09-04,144,0.027777777777777776,0.43125,0.445
2015-09-05,29,0.0,30.32758620689655,0.034482758620689655
2015-09-06,102,0.029411764705882353,6.722549019607843,0.10618556701030929
2015-09-07,361,0.07756232686980609,1.1044321329639888,0.3515492957746479
2015-09-08,762,1.083989501312336,0.5486876640419948,0.5473684210526316
2015-09-09,991,2.360242179616549,0.20443995963673056,0.5988866396761134
2015-09-10,1606,3.537359900373599,0.04321295143212952,0.6888398486759143
2015-09-11,1905,4.431496062992126,0.006981627296587927,0.7304371002132196
2015-09-12,1665,5.581981981981982,0.0,0.7775497887748944
2015-09-13,1225,6.662857142857143,0.025469387755102043,0.7492462311557789
2015-09-14,269,7.33457249070632,1.353903345724907,0.692156862745098
2015-09-15,349,7.197707736389685,1.5862464183381089,0.725
2015-09-16,438,4.495433789954338,0.4246575342465753,0.736027713625866
2015-09-17,762,4.746719160104987,0.23779527559055116,0.7640957446808511
2015-09-18,680,5.839705882352941,1.1373529411764705,0.79375
2015-09-19,324,3.5617283950617282,0.8160493827160493,0.8207547169811321
2015-09-20,233,6.206008583690987,0.6450643776824034,0.8458515283842795
2015-09-21,308,5.636363636363637,0.5587662337662338,0.8709570957095709
2015-09-22,588,4.02891156462585,2.5566326530612242,0.8415807560137457
2015-09-23,761,1.9001314060446781,1.0455978975032851,0.807661822985469
2015-09-24,313,1.8913738019169328,12.327156549520767,0.4850649350649351
2015-09-25,106,1.971698113207547,3.209433962264151,0.7310679611650485
2015-09-26,157,0.25477707006369427,1.1891719745222928,0.7566433566433567
2015-09-27,107,0.45794392523364486,6.762616822429907,0.4447619047619048
2015-09-28,143,0.42657342657342656,3.1594405594405597,0.5573643410852713
2015-09-29,226,0.6592920353982301,0.8942477876106194,0.6386046511627907
2015-09-30,44,1.0454545454545454,6.693181818181818,0.4658536585365854
2015-10-01,54,0.9444444444444444,3.7629629629629626,0.5471698113207547
2015-10-02,42,0.19047619047619047,2.1166666666666667,0.47619047619047616
2015-10-03,195,0.35384615384615387,0.2846153846153846,0.5453125
2015-10-04,246,1.5772357723577235,0.2040650406504065,0.6216666666666666
2015-10-05,196,2.5306122448979593,0.07346938775510205,0.6817708333333333
2015-10-06,154,2.5194805194805197,20.67077922077922,0.24353741496598644
2015-10-07,3,2.0,10.433333333333334,0.3666666666666667
2015-10-08,68,1.25,0.25,0.3161764705882353
2015-10-09,206,2.4174757281553396,0.09271844660194176,0.6266331658291457
2015-10-10,178,2.859550561797753,7.113483146067416,0.37022471910112364
2015-10-11,42,2.8095238095238093,4.647619047619047,0.34210526315789475
2015-10-12,35,0.05714285714285714,0.12000000000000001,0.38125000000000003
2015-10-13,90,2.6555555555555554,0.022222222222222223,0.6551724137931034
2015-10-14,152,2.6776315789473686,4.524342105263158,0.3919463087248322
2015-10-15,121,2.5702479338842976,3.4115702479338843,0.43189655172413793
2015-10-16,90,2.6555555555555554,0.16333333333333333,0.6322222222222222
2015-10-17,15,5.866666666666666,6.08,0.6933333333333334
2015-10-18,39,0.5897435897435898,0.020512820512820513,0.6578947368421053
2015-10-19,193,2.1088082901554404,0.4730569948186528,0.6647668393782384
2015-10-20,358,2.9189944134078214,0.09832402234636872,0.7285310734463276
2015-10-21,250,3.936,0.332,0.7314516129032258
2015-10-22,362,4.7292817679558015,0.3298342541436464,0.7290055248618784
2015-10-23,144,6.097222222222222,0.3111111111111111,0.8081481481481482
2015-10-24,179,5.944134078212291,3.6966480446927377,0.5666666666666667
2015-10-25,6,4.666666666666667,9.633333333333333,0.5666666666666667
2015-10-26,156,4.455128205128205,2.3897435897435897,0.5716129032258064
2015-10-27,158,0.9810126582278481,0.3322784810126582,0.6878205128205128
2015-10-28,174,1.1666666666666667,0.7580459770114942,0.6895953757225434
2015-10-29,6,1.0,38.1,0.0
2015-10-30,39,0.02564102564102564,0.23333333333333334,0.5405405405405406
2015-10-31,118,1.2542372881355932,0.3584745762711864,0.26216216216216215
2015-11-01,63,1.9365079365079365,10.338095238095237,0.27142857142857146
2015-11-02,1,3.0,4.5,0.8
2015-11-03,2,0.0,6.5,0.0
2015-11-04,1,0.0,12.4,0.0
2015-11-05,2,1.5,14.5,0.2
2015-11-08,7,1.8571428571428572,0.028571428571428574,0.0
2015-11-09,42,1.7619047619047619,3.0357142857142856,0.2857142857142857
2015-11-10,22,1.7272727272727273,6.0590909090909095,0.19545454545454544
2015-11-11,4,3.0,4.725,0.15000000000000002
2015-11-13,60,0.23333333333333334,0.365,0.23389830508474577
2015-11-14,90,1.7555555555555555,0.005555555555555556,0.401123595505618
2015-11-15,67,2.955223880597015,0.9313432835820895,0.4151515151515151
2015-11-16,100,3.4,0.478,0.4989795918367347
2015-11-17,50,4.24,0.094,0.444
2015-11-18,107,4.0,0.026168224299065422,0.5644859813084112
2015-11-19,144,4.284722222222222,0.0,0.5826388888888889
2015-11-20,169,5.2485207100591715,0.406508875739645,0.5279761904761905
2015-11-21,13,4.3076923076923075,1.6230769230769229,0.6230769230769231
2015-11-22,6,6.5,2.9333333333333336,0.13333333333333333
2015-11-23,58,1.8275862068965518,8.818965517241379,0.32894736842105265
2015-11-24,32,0.1875,0.1875,0.43846153846153846
2015-11-25,61,1.9836065573770492,0.08360655737704917,0.580327868852459
2015-11-26,84,2.607142857142857,2.126190476190476,0.5095238095238095
2015-11-27,5,1.8,1.6800000000000002,0.42000000000000004
2015-11-28,8,1.0,0.475,0.7375
2015-11-30,3,1.0,5.066666666666667,0.0
2015-12-02,25,0.56,1.5879999999999999,0.1523809523809524
2015-12-03,12,1.1666666666666667,2.1833333333333336,0.5333333333333333
2015-12-04,6,1.3333333333333333,0.48333333333333334,0.575
2015-12-05,7,1.1428571428571428,1.4857142857142855,0.7999999999999999
2015-12-06,4,0.75,7.425,0.25
2015-12-08,1,2.0,10.7,0.0
2015-12-09,2,0.0,25.8,0.0
2015-12-10,1,1.0,0.4,0.2
2015-12-11,22,0.7272727272727273,0.01363636363636364,0.4727272727272727
2015-12-12,10,2.2,1.19,0.48
2015-12-13,15,1.3333333333333333,1.0866666666666667,0.3333333333333333
2015-12-14,18,3.2777777777777777,0.011111111111111112,0.5888888888888889
2015-12-15,7,0.7142857142857143,7.028571428571429,0.09999999999999999
2015-12-17,10,0.9,0.06999999999999999,0.2
2015-12-18,8,0.125,4.575,0.425
2015-12-20,2,1.0,1.1,0.2
2015-12-21,2,1.0,26.05,0.0
2015-12-22,15,1.5333333333333334,2.0533333333333332,0.10666666666666667
2015-12-23,6,2.0,2.5,0.23333333333333336
2015-12-25,7,0.0,0.8571428571428571,0.3666666666666667
2015-12-26,2,1.0,0.6,0.25
